Job_Title_Sim,Jobs_Name,Skill,Job_Count
"Data Scientist","Product Engineer â€“ Spatial Data Science and Statistical Analysis",Python,1
"Data Engineer","Sr. Data Engineer (ETL Developer)",Python,1
"Data Engineer","Senior Data Engineer",Spark,5
"Data Scientist","Data Scientist",Spark,32
"ML Engineer","Staff Machine Learning Engineer",Spark,1
"Data Engineer","Data Engineer",Spark,20
"Data Engineer","Lead Data Engineer",Spark,1
"Data Analyst","Data Analyst",Spark,1
"Data Scientist","Senior Data Scientist",Spark,6
"Data Scientist","Customer Data Scientist",Spark,1
"Data Scientist","Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics",Spark,1
"ML Engineer","Machine Learning Engineer",Spark,1
"Data Scientist","Data Scientist/ML Engineer",Spark,1
"Data Scientist","Associate Data Scientist/Computer Scientist",Spark,1
"Data Scientist","Customer Data Scientist/Sales Engineer",Spark,1
"Data Scientist","Senior Spark Engineer (Data Science)",Spark,1
"Data Scientist","Lead Data Scientist",Spark,1
"Data Scientist","Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",Spark,1
"Data Scientist","Data Scientist SR",Spark,1
"Data Engineer","Big Data Engineer - Chicago - Future Opportunity",Spark,1
"Data Scientist","R&D Sr Data Scientist",Spark,1
"Data Scientist","Customer Data Scientist/Sales Engineer (Bay",Spark,1
"Data Scientist","Sr. Data Scientist, Cyber-Security LT Contract",Spark,1
"Data Scientist","Insurance Data Scientist",Spark,1
"Data Scientist","Sr. Data Scientist II",Spark,1
"Data Scientist","Data Scientist II",Spark,1
"Data Engineer","Data Engineer, Data Engineering and Artifical Intelligence",Spark,1
"Data Analyst","Lead Data Analyst",Spark,1
"Data Engineer","Principal Data Engineer, Data Platform & Insights",Spark,1
"Data Engineer","Big Data Engineer",Spark,2
"Data Scientist","Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad",Spark,1
"Data Engineer","Data Engineer - ETL",Spark,1
"Data Modeler","Data Modeler (Analytical Systems)",Spark,1
"Data Engineer","Staff Data Engineer",Spark,2
"Data Engineer","Data Engineering Analyst",Spark,1
"Data Scientist","Manager of Data Science",Spark,1
"Data Scientist","Data Scientist Manager",Spark,1
"Data Engineer","Associate Data Engineer",Spark,1
"Data Engineer","Staff BI and Data Engineer",Spark,1
"Data Analyst","Sr. Data Analyst",Spark,1
"Data Analyst","Information Security Data Analyst",Spark,1
"Data Engineer","Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",Spark,1
"Not Specified","Senior Engineer, Data Management Engineering",Spark,1
"Data Engineer","Sr. Data Engineer",Spark,1
"Data Engineer","Sr. Data Engineer | Big Data SaaS Pipeline",Spark,1
"Data Scientist","Jr. Data Scientist",Spark,1
"Data Engineer","IT - Data Engineer II",Spark,1
"Not Specified","Enterprise Architect, Data",Spark,1
"Not Specified","Technology-Minded, Data Professional Opportunities",Spark,1
"Data Scientist","Managing Data Scientist/ML Engineer",Spark,1
"Data Engineer","Lead Big Data Engineer",Spark,1
"Data Scientist","Product Engineer â€“ Spatial Data Science and Statistical Analysis",Spark,1
"Data Engineer","Senior Data Engineer",AWS,6
"Data Engineer","Data Engineer",AWS,15
"Data Engineer","Lead Data Engineer",AWS,1
"Data Analyst","Data Analyst",AWS,2
"Data Scientist","Data Scientist",AWS,21
"Other Scientist","Medical Laboratory Scientist",AWS,1
"Other Scientist",Scientist,AWS,1
"Data Scientist","Data Analytics Manager",AWS,1
"Data Scientist","Customer Data Scientist",AWS,1
